"Check","Result"
"Raw rows","5481"
"Raw columns","11"
"Earliest date","2024-10-18"
"Latest date","2026-06-30"
"Calendar span days","621"
"Unique transaction dates","474"
"Calendar dates without transactions","147"
"Invalid dates","0"
"Missing values","0"
"Exact duplicate rows","0"
"Duplicate Order IDs","0"
"Invalid Order ID formats","0"
"Minimum Order ID","FC-00001"
"Maximum Order ID","FC-05481"
"Missing sequential Order IDs","0"
"Duplicate-looking Regular Order rows","2"
"Unique products","4"
"Unique product codes","4"
"Unique buyers","49"
"Regular Orders","3116"
"Free Samples","2365"
"Zero Quantity records","0"
"Negative Quantity records","0"
"Zero Total Value records","2365"
"Negative Total Value records","0"
"Pricing-rule mismatches","0"
"Regular Order Total Value mismatches","0"
"Free Samples with non-zero value","0"
"Regular Order revenue (LKR)","246708257.80"
"Quantity Q1","55"
"Quantity Q3","354"
"Quantity IQR","299"
"IQR lower fence","-393.5"
"IQR upper fence","802.5"
"Regular Order IQR outliers","41"
"Total raw Quantity","708175"
"Free Sample Quantity","2365"
"Total Regular Order demand","705810"
"Final Master rows","5481"
"Final Master columns","22"
