"Month","Count","Mean","Median","Standard_Deviation","Variance","Minimum","Q1","Q3","IQR","Maximum"
"January",704,190.261363636364,141,176.189095321558,31042.5973102289,23,32,300.75,268.75,901
"February",103,209.864077669903,201,172.139424142158,29631.9813439939,23,36,348,312,798
"March",289,184.643598615917,138,169.413021466948,28700.7718425606,23,35,284,249,998
"April",667,315.979010494753,298,183.655285312031,33729.2638230434,51,177.5,422,244.5,989
"May",78,331.141025641026,327.5,196.999289626181,38808.7201132201,59,196.5,419,222.5,998
"June",64,308.640625,320.5,153.90972072269,23688.2021329365,58,166,434.25,268.25,655
"July",9,331.444444444444,378,161.783892207407,26174.0277777778,94,160,455,295,537
"August",23,304.434782608696,289,186.035144794779,34609.0750988142,54,186.5,385.5,199,991
"September",38,297,287.5,148.284788088254,21988.3783783784,56,175.25,394.25,219,755
"October",71,192.140845070423,152,149.57294405594,22372.0655935614,23,36,300,264,497
"November",298,205.929530201342,182,179.226804754589,32122.2475425395,23,34,317,283,981
"December",772,186.875647668394,141,170.603179798698,29105.4449574269,23,33,291.5,258.5,984
