"Month","Count","Mean","Median","Std_Dev","Variance","Minimum","Q1","Q3","IQR","Maximum","Skewness"
"January",340,312.902941176471,311,168.288151859306,28320.9020562207,52,178,414.5,236.5,901,0.901811387101873
"February",58,308.603448275862,310.5,156.98384537015,24643.927707199,51,201.75,397.75,196,798,0.740603906823346
"March",148,293.722972972973,275,163.349665473024,26683.1132101489,51,173,385,212,998,1.18219948747714
"April",667,315.979010494753,298,183.655285312031,33729.2638230434,51,177.5,422,244.5,989,1.07655297293039
"May",78,331.141025641026,327.5,196.999289626181,38808.7201132201,59,196.5,419,222.5,998,1.11221007379049
"June",64,308.640625,320.5,153.90972072269,23688.2021329365,58,166,434.25,268.25,655,0.0495268918404481
"July",9,331.444444444444,378,161.783892207407,26174.0277777778,94,160,455,295,537,-0.310145998785652
"August",23,304.434782608696,289,186.035144794779,34609.0750988142,54,186.5,385.5,199,991,2.28403333250232
"September",38,297,287.5,148.284788088254,21988.3783783784,56,175.25,394.25,219,755,0.651456637991227
"October",44,274.681818181818,271.5,127.27515929419,16198.9661733615,53,161,384.25,223.25,497,0.0145590180894029
"November",150,328.82,315,162.933719385374,26547.3969127517,51,211.25,432.5,221.25,981,0.791069297342543
"December",395,293.210126582278,280,167.497022925992,28055.2526890702,51,152,408,256,984,0.955782105310509
