"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,1,382.849373932273,128.58550853146,164.173109534452,0.0525217439421797
0.25,1,340.717962389337,127.121184427622,161.304250680198,0.08534602107527
0.25,1,303.222984805712,125.631145225792,158.468595935074,0.117221751049858
0.25,1,269.854215697089,124.128965819867,155.692727586376,0.147877842768603
0.25,1,240.157578345028,122.671437895589,153.002180015358,0.177074648770779
0.25,1,213.728965795699,121.218022234079,150.420490472084,0.204611688170998
0.25,1,190.208741838959,119.82581977964,147.968334966288,0.230333157078151
0.25,1,169.276847137993,118.462553125096,145.662816881864,0.254130905322266
0.25,1,150.648443914528,117.130138171908,143.516963087233,0.275944802178419
0.25,1,134.070039923227,115.836244389932,141.539462083927,0.295760654220151
0.25,1,119.316038970929,114.629649232518,139.734653999789,0.31360604243047
0.25,1,106.185671040782,113.478498416697,138.10275685024,0.329544588823382
0.25,1,94.5002602468927,112.394304806229,136.640291443209,0.343669233080306
0.25,1,84.1007934422775,111.561340071101,135.340651787895,0.356095098161722
0.25,1,74.845756394128,110.975364276804,134.194760616015,0.366952462452583
0.25,1,66.6092080814196,110.428965847948,133.191750651348,0.376380253453973
0.25,1,59.2790669102242,110.237808108094,132.52327615702,0.38262430041595
0.25,1,52.7555855258255,110.174733097586,132.133009698799,0.386255153232828
0.25,1,46.9499934671316,110.116959830241,131.842084543871,0.388954815470583
0.25,1,41.7832891928501,110.064205571419,131.634333003874,0.390879019879568
0.25,1,37.1851650415151,109.908895715373,131.37563215033,0.393270877198767
0.25,1,33.093050496401,109.43072580765,130.773004278378,0.398824316394713
0.25,1,29.4512607362285,109.262288529577,130.342984750797,0.402771495631238
0.25,1,26.2102388852802,109.251069584546,130.119421671198,0.404818460249836
0.25,1,23.3258816515924,109.384929451611,130.04242069601,0.405522674856248
0.25,1,20.7589391766155,109.722851310514,130.135042359576,0.404675549940257
0.25,1,18.4744809295988,110.152340276446,130.355203748761,0.402659516057548
0.25,1,16.4414203786764,110.537164177402,130.65864547322,0.399875292825221
0.25,1,14.6320919704577,110.892387150106,131.032407016407,0.396436953835904
0.25,1,13.0218746617296,111.305339410427,131.44692432444,0.392612204446133
0.25,1,11.588856880353,111.808405891829,131.875238655316,0.388647459781814
0.25,1,10.3135383561944,112.230261022979,132.266077812769,0.385018354141861
0.25,1,9.17856476465982,112.619303320604,132.715630689746,0.380830786057379
0.25,1,8.1684915719013,112.893588561042,133.154690628686,0.376727244112312
0.25,1,7.26957386814228,113.13390328943,133.563121888224,0.372897795921888
0.25,1,6.46957932920735,113.368718028027,133.952354752607,0.369237437457555
