"Variable","Coefficient"
"(Intercept)",278.685496841659
"`Product Name`Kennedy",0
"`Product Name`Mesmerose",0
"`Product Name`Secret Ambrosia",0
"`Export Market`Japan",304.344680145722
"MonthAugust",0
"MonthDecember",0
"MonthFebruary",0
"MonthJanuary",0
"MonthJuly",0
"MonthJune",0
"MonthMarch",0
"MonthMay",0
"MonthNovember",4.8683773946946
"MonthOctober",0
"MonthSeptember",0
"Day_of_WeekFriday",0
"Day_of_WeekSaturday",0
"Day_of_WeekSunday",0
"Day_of_WeekThursday",0
"Day_of_WeekTuesday",0
"Day_of_WeekWednesday",0
"Time_Trend",0
