"Alpha","Fold","Lambda","MAE","RMSE","R2"
1,1,95.7123434830683,125.168587205767,157.606174056597,0.126804162174197
1,1,85.1794905973343,122.178158096731,152.11437270222,0.18659712047811
1,1,75.8057462014279,119.602838821674,147.58383934654,0.234327917690901
1,1,67.4635539242722,117.348723934111,143.861504254831,0.272464150617982
1,1,60.039394586257,115.355359313186,140.813656896981,0.302964723172469
1,1,53.4322414489247,113.639477411488,138.324982652148,0.327385147995215
1,1,47.5521854597398,112.136901213556,136.297207087988,0.34696100188596
1,1,42.3192117844982,111.210134561576,134.647468083519,0.36267407266165
1,1,37.662110978632,110.49353272305,133.306548887261,0.375304791972186
1,1,33.5175099808067,110.124003269131,132.217091468525,0.385473801591367
1,1,29.8290097427323,109.869286314879,131.331882172291,0.393674908989629
1,1,26.5464177601955,109.642600188303,130.612271067701,0.400301219292369
1,1,23.6250650617232,109.440860181898,130.026758876391,0.405665859455821
1,1,21.0251983605694,109.261321050859,129.54976385434,0.410018416393257
1,1,18.711439098532,109.101539656238,129.160565962532,0.413557977812123
1,1,16.6523020203549,108.959341719113,128.842416295308,0.416443479968609
1,1,14.819766727556,108.885687351407,128.704508702179,0.417692040929905
1,1,13.1888963814564,109.199362178154,128.961723088158,0.415362244555423
1,1,11.7374983667829,109.478518128288,129.2279006372,0.412946364267416
1,1,10.4458222982125,109.726953813428,129.494121554423,0.410525107897122
1,1,9.29629126037878,109.496728920702,129.176207612027,0.413415930184456
1,1,8.27326262410026,109.331193340438,129.013164788973,0.414895737780237
1,1,7.36281518405712,109.1862225013,128.971351724047,0.415274939980276
1,1,6.55255972132006,109.251325015811,129.083691572204,0.414255852684594
1,1,5.83147041289811,109.523538739898,129.358602165165,0.411758267754285
1,1,5.18973479415389,110.017133734991,129.761453245116,0.40808873503865
1,1,4.61862023239971,110.462691977262,130.241279140433,0.403703157456003
1,1,4.1103550946691,110.850592820866,130.74704008721,0.39906301230784
1,1,3.65802299261441,111.3333223077,131.283685754866,0.394119847942736
1,1,3.2554686654324,111.87184057743,131.820914752583,0.389151029911983
1,1,2.89721422008824,112.348449432456,132.340260348762,0.384328325492571
1,1,2.5783845890486,112.764412807791,132.841137028977,0.37965916210945
1,1,2.29464119116496,113.082858985085,133.31852619468,0.375192531880837
1,1,2.04212289297532,113.417031878489,133.768777719205,0.370965128989888
1,1,1.81739346703557,113.758745657557,134.19530665918,0.366947310657051
1,1,1.61739483230184,114.060016738887,134.580625021337,0.363306691202985
1,1,1.43940544026699,114.432840238945,135.046988487015,0.35888636731168
1,1,1.28100324057642,114.779925818178,135.504838968072,0.354531856727749
1,1,1.14003272216542,115.097938409996,135.94966224961,0.350287129755032
1,1,1.01457558141935,115.381551811031,136.365999355165,0.346301628575521
1,1,0.902924618213772,115.633991645291,136.751969122711,0.342595941305178
1,1,0.803560504616077,115.919123142525,137.193215660535,0.338346711825564
1,1,0.715131110121055,116.180063017986,137.610322646431,0.334317361873157
1,1,0.636433102081484,116.41867093852,138.003783334089,0.330505229334357
1,1,0.566395570955507,116.621707488301,138.346625013622,0.327174656552894
1,1,0.504065457545829,116.810744357199,138.673543554888,0.323991073783408
1,1,0.448594583927009,116.980460622542,138.972978445374,0.321068537949275
1,1,0.399228111579834,117.125729956056,139.228723125436,0.318567434850812
1,1,0.355294269672978,117.322060084806,139.497144218751,0.31593741443083
1,1,0.316195213716086,117.505960882284,139.752745044627,0.313428300011649
1,1,0.281398890190334,117.671385715247,139.985993714972,0.311134598012725
1,1,0.250431796451709,117.803283178829,140.172436625438,0.309298420039633
1,1,0.222872537384956,117.931429424107,140.356469104082,0.307483584409677
1,1,0.198346091128197,118.04886401085,140.527125703639,0.30579852713753
1,1,0.176518705837153,118.137535120933,140.655582281667,0.30452880070188
1,1,0.157093358044976,118.226262638699,140.785748253938,0.303240994400392
1,1,0.139805710815793,118.309508096544,140.909136787537,0.302019141376293
1,1,0.124420516691184,118.385470053067,141.022628100916,0.300894350368119
1,1,0.110728416481486,118.453913438266,141.125533447561,0.29987369207508
1,1,0.0985430903403902,118.498841002652,141.192349788599,0.299210580998584
1,1,0.0876987223551414,118.562882478877,141.28973702234,0.298243510473631
1,1,0.0780477441508835,118.601487648198,141.347944030759,0.297665187367703
1,2,95.7123434830683,119.557051958603,146.292936687873,0.0696513367498689
1,2,85.1794905973343,118.264148794535,143.550525619997,0.1042050785555
1,2,75.8057462014279,117.506251290525,141.443548979371,0.130308327978764
1,2,67.4635539242722,116.961866034534,139.844790580789,0.149857735066083
1,2,60.039394586257,116.527876004363,138.648524353889,0.164340171747904
1,2,53.4322414489247,116.161458188519,137.768082207154,0.17491964334555
1,2,47.5521854597398,115.835363541125,137.133257442761,0.18250593854939
1,2,42.3192117844982,115.545154619885,136.687757697052,0.187808836365148
1,2,37.662110978632,115.286882309559,136.386846817019,0.191380892095662
1,2,33.5175099808067,115.057032083054,136.195250462632,0.193651193887253
1,2,29.8290097427323,114.852476176314,136.085352181752,0.194951982193098
1,2,26.5464177601955,114.670431026225,136.035675164437,0.195539629345529
1,2,23.6250650617232,114.508419392343,136.029626742829,0.19561116362965
1,2,21.0251983605694,114.374727726219,136.054474151026,0.195317274663354
1,2,18.711439098532,114.259028686967,136.100517715915,0.194772540933425
1,2,16.6523020203549,114.158902213056,136.160428942861,0.194063465260321
1,2,14.819766727556,114.077259414312,136.228724118296,0.193254781249851
1,2,13.1888963814564,114.00460115776,136.301347948911,0.192394396695307
1,2,11.7374983667829,113.918720543212,136.391239114664,0.191328808583548
1,2,10.4458222982125,113.843290151069,136.481030230687,0.190263705126997
1,2,9.29629126037878,113.767448239825,136.555537185887,0.189379370453967
1,2,8.27326262410026,113.599592434823,136.534701422034,0.189626721997839
1,2,7.36281518405712,113.674909895016,136.421493616264,0.190970007570395
1,2,6.55255972132006,113.739033814402,136.397684293555,0.191252379134359
1,2,5.83147041289811,113.765968132121,136.420502970782,0.190981757317092
1,2,5.18973479415389,113.856242909048,136.493752308531,0.1901127389702
1,2,4.61862023239971,113.959506570274,136.594785339386,0.188913333914328
1,2,4.1103550946691,114.065656646031,136.700660731577,0.187655490880018
1,2,3.65802299261441,114.210129494152,136.822151968574,0.186210924411861
1,2,3.2554686654324,114.342544566506,136.937992974968,0.184832345705939
1,2,2.89721422008824,114.460937448459,137.061862735553,0.18335692914406
1,2,2.5783845890486,114.566336926633,137.188160077554,0.181851224101161
1,2,2.29464119116496,114.66013891453,137.313392975378,0.180356839933192
1,2,2.04212289297532,114.752574707255,137.4404022891,0.178839865394758
1,2,1.81739346703557,114.86457294504,137.582245110017,0.177144064578479
1,2,1.61739483230184,115.010066271293,137.773481034019,0.174854975924706
1,2,1.43940544026699,115.210810338643,137.960177869764,0.172617152770752
1,2,1.28100324057642,115.418673809538,138.138691730011,0.170474579947835
1,2,1.14003272216542,115.603795695335,138.30690625222,0.168453087202745
1,2,1.01457558141935,115.766532666202,138.462032899368,0.166586695578127
1,2,0.902924618213772,115.913052467069,138.60729913535,0.164837041621574
1,2,0.803560504616077,116.043730922733,138.741415565316,0.163220052255067
1,2,0.715131110121055,116.160075897553,138.864436304161,0.161735464173713
1,2,0.636433102081484,116.275691208794,139.012125813791,0.159951440604905
1,2,0.566395570955507,116.373669364185,139.140766645107,0.158395971317982
1,2,0.504065457545829,116.541465219544,139.33445357645,0.156051278806026
1,2,0.448594583927009,116.729813637741,139.543491780842,0.153517090642058
1,2,0.399228111579834,116.905866354195,139.748339617044,0.151030017047404
1,2,0.355294269672978,117.403675441876,140.339893583241,0.143827434299194
1,2,0.316195213716086,117.878796687475,140.961120016524,0.136230817043345
1,2,0.281398890190334,119.501553449228,143.259951659485,0.10782793167544
1,2,0.250431796451709,121.094849095815,145.760856728213,0.0764065455182193
1,2,0.222872537384956,122.643058946921,148.409021136414,0.0425422405671487
