"Variable","Coefficient","Std_Error","z_value","p_value","Multiplicative_Effect"
"(Intercept)",5.58023626554592,0.0417253077107656,133.737450283827,0,265.134240472794
"`Product Name`Kennedy",0.0081758475159743,0.0376759294201214,0.217004534242701,0.828204811323213,1.00820936102881
"`Product Name`Mesmerose",-0.0163866891416619,0.0366052703657929,-0.447659284521363,0.654399110317559,0.983746842274661
"`Product Name`Secret Ambrosia",-0.0480033403007085,0.0405047201263545,-1.18512953924782,0.235966233400788,0.953130603329358
"`Export Market`Japan",0.791754330925334,0.0455020301587825,17.4004176992203,8.19035100624811e-68,2.20726530540219
"Day_of_WeekFriday",0.0441487710890715,0.0501788843109016,0.879827674436356,0.378952670204913,1.04513782961623
"Day_of_WeekSaturday",0.0609778266617159,0.0477274326965261,1.27762637159728,0.20138119747113,1.0628753464313
"Day_of_WeekSunday",0.0767930236221838,0.046681955551863,1.64502585023174,0.0999644803148623,1.07981855632822
"Day_of_WeekThursday",0.0657136063839251,0.0497728919587686,1.32026900181653,0.186745221196652,1.06792082765817
"Day_of_WeekTuesday",0.0800363265740138,0.0492457442773852,1.62524351593095,0.104110681564803,1.08332642049757
"Day_of_WeekWednesday",0.0503822594334538,0.0472053442178656,1.0672999057252,0.285836430666992,1.05167303148658
