"Alpha","Fold","Lambda","MAE","RMSE","R2"
0,1,95712.3434830683,130.77198935748,168.58824243789,0.00087512861809691
0,1,85179.4905973343,130.764153424073,168.57073545906,0.0010826252917927
0,1,75805.7462014279,130.755353111568,168.55107848334,0.00131557853449626
0,1,67463.5539242722,130.745470365302,168.529009524776,0.0015770836216551
0,1,60039.394586257,130.734372844737,168.504235210129,0.00187060490289448
0,1,53432.2414489247,130.72191223783,168.476427158282,0.00220001791333924
0,1,47552.1854597398,130.707922388099,168.445217979497,0.00256965578217205
0,1,42319.2117844982,130.692217216398,168.410196864008,0.00298436024769611
0,1,37662.110978632,130.674588421474,168.37090473736,0.0034495374820025
0,1,33517.5099808067,130.654802924516,168.326828915431,0.00397121943952139
0,1,29829.0097427323,130.632600074373,168.277397325636,0.00455612984385456
0,1,26546.4177601956,130.607688548322,168.221972158959,0.00521175629459425
0,1,23625.0650617232,130.579742962135,168.159843021594,0.00594642753187014
0,1,21025.1983605694,130.54840016004,168.0902195524,0.00676939607881666
0,1,18711.439098532,130.513255172234,168.012223522512,0.00769092585001618
0,1,16652.3020203549,130.473856829744,167.924880447516,0.00872238410378223
0,1,14819.766727556,130.42970303246,167.827110767381,0.00987633677076716
0,1,13188.8963814564,130.380235674384,167.717720681458,0.0111666457541451
0,1,11737.4983667829,130.32483524124,167.595392766523,0.0126085662510628
0,1,10445.8222982125,130.262815110197,167.458676556782,0.0142188414738682
0,1,9296.29126037878,130.193415600197,167.305979327624,0.0160157913357811
0,1,8273.26262410027,130.115797845279,167.135557401404,0.0180193906939022
0,1,7362.81518405712,130.029037592968,166.945508385215,0.0202513316015925
0,1,6552.55972132006,129.932119066427,166.733764858742,0.0227350627085916
0,1,5831.4704128981,129.823929073263,166.498090155536,0.0254957974688192
0,1,5189.73479415388,129.703251596621,166.236077022894,0.0285604811984049
0,1,4618.62023239971,129.568763165746,165.94515010223,0.0319577053206881
0,1,4110.3550946691,129.419029373708,165.62257333908,0.0357175554249018
0,1,3658.02299261441,129.25250298871,165.265463602602,0.0398713781782875
0,1,3255.4686654324,129.067524190638,164.870811957573,0.0444514508480007
0,1,2897.21422008824,128.862323553101,164.435514171329,0.0494905364518546
0,1,2578.3845890486,128.635028478168,163.956412131976,0.055021307675895
0,1,2294.64119116496,128.383673869071,163.430347874036,0.061075624049195
0,1,2042.12289297532,128.106217885053,162.854231817878,0.0676836498852122
0,1,1817.39346703557,127.800563649317,162.225126588229,0.0748728056473761
0,1,1617.39483230184,127.464587759217,161.540347338202,0.0826665531202361
0,1,1439.40544026699,127.09617635847,160.797578821469,0.0910830254242144
0,1,1281.00324057642,126.6932693535,159.995008483939,0.100133526673322
0,1,1140.03272216542,126.253913069641,159.13147355887,0.109820942803988
