"Year_Month","Orders","Mean_Quantity","Median_Quantity","SD_Quantity","Min_Quantity","Max_Quantity","Products","Markets","Buyers"
"2025-04",335,308.09552238806,286,185.862779716872,51,989,4,2,6
"2025-05",37,367.243243243243,361,213.712606268507,59,998,4,2,6
"2025-06",22,323.590909090909,319,158.245035757812,91,655,4,2,6
"2025-07",9,331.444444444444,378,161.783892207407,94,537,4,2,5
"2025-08",23,304.434782608696,289,186.035144794779,54,991,4,2,6
"2025-09",38,297,287.5,148.284788088254,56,755,4,2,6
"2025-10",44,274.681818181818,271.5,127.27515929419,53,497,4,2,6
"2025-11",150,328.82,315,162.933719385374,51,981,4,2,6
"2025-12",395,293.210126582278,280,167.497022925992,51,984,4,2,6
"2026-01",340,312.902941176471,311,168.288151859306,52,901,4,2,6
"2026-02",58,308.603448275862,310.5,156.98384537015,51,798,4,2,6
"2026-03",148,293.722972972973,275,163.349665473024,51,998,4,2,6
"2026-04",332,323.933734939759,312.5,181.333100896864,51,988,4,2,6
"2026-05",41,298.560975609756,277,176.938979422354,74,832,4,2,6
"2026-06",42,300.809523809524,320.5,152.938093341357,58,629,4,2,6
