"Variable","VIF"
"Time_Trend_Centered",175.923954099311
"MonthJanuary",169.067568530171
"MonthDecember",147.89957791122
"MonthMarch",124.986534544971
"MonthNovember",52.827427661549
"MonthFebruary",44.1505027109067
"MonthOctober",12.5154977728632
"MonthSeptember",8.40994513675215
"MonthAugust",3.8001667802126
"Day_of_WeekSunday",1.77383830042238
"Day_of_WeekWednesday",1.7521406387982
"Day_of_WeekSaturday",1.71879370793096
"`Product Name`Mesmerose",1.71383047055689
"MonthJune",1.69523083233386
"`Product Name`Kennedy",1.67479771808118
"Day_of_WeekTuesday",1.66765209799279
"MonthJuly",1.65708374720535
"Day_of_WeekThursday",1.63966855817051
"Day_of_WeekFriday",1.62686374850337
"`Product Name`Secret Ambrosia",1.56448223173803
"MonthMay",1.37996778847006
"`Export Market`Japan",1.01307522333142
