"Experimental_Unit","Assigned_Treatment","Quantity_Sold","Revenue_LKR","Treatment_Compliance"
"CRD_Unit_01","Discount",NA,NA,NA
"CRD_Unit_02","Discount",NA,NA,NA
"CRD_Unit_03","Social Media Promotion",NA,NA,NA
"CRD_Unit_04","Control - No Promotion",NA,NA,NA
"CRD_Unit_05","Social Media Promotion",NA,NA,NA
"CRD_Unit_06","Control - No Promotion",NA,NA,NA
"CRD_Unit_07","Discount",NA,NA,NA
"CRD_Unit_08","Bundle Offer",NA,NA,NA
"CRD_Unit_09","Control - No Promotion",NA,NA,NA
"CRD_Unit_10","Discount",NA,NA,NA
"CRD_Unit_11","Control - No Promotion",NA,NA,NA
"CRD_Unit_12","Social Media Promotion",NA,NA,NA
"CRD_Unit_13","Social Media Promotion",NA,NA,NA
"CRD_Unit_14","Discount",NA,NA,NA
"CRD_Unit_15","Bundle Offer",NA,NA,NA
"CRD_Unit_16","Control - No Promotion",NA,NA,NA
"CRD_Unit_17","Discount",NA,NA,NA
"CRD_Unit_18","Social Media Promotion",NA,NA,NA
"CRD_Unit_19","Bundle Offer",NA,NA,NA
"CRD_Unit_20","Control - No Promotion",NA,NA,NA
"CRD_Unit_21","Bundle Offer",NA,NA,NA
"CRD_Unit_22","Discount",NA,NA,NA
"CRD_Unit_23","Social Media Promotion",NA,NA,NA
"CRD_Unit_24","Bundle Offer",NA,NA,NA
"CRD_Unit_25","Social Media Promotion",NA,NA,NA
"CRD_Unit_26","Control - No Promotion",NA,NA,NA
"CRD_Unit_27","Bundle Offer",NA,NA,NA
"CRD_Unit_28","Social Media Promotion",NA,NA,NA
"CRD_Unit_29","Discount",NA,NA,NA
"CRD_Unit_30","Control - No Promotion",NA,NA,NA
"CRD_Unit_31","Bundle Offer",NA,NA,NA
"CRD_Unit_32","Bundle Offer",NA,NA,NA
