"Experimental_Unit","Assigned_Treatment"
"CRD_Unit_01","Discount"
"CRD_Unit_02","Discount"
"CRD_Unit_03","Social Media Promotion"
"CRD_Unit_04","Control - No Promotion"
"CRD_Unit_05","Social Media Promotion"
"CRD_Unit_06","Control - No Promotion"
"CRD_Unit_07","Discount"
"CRD_Unit_08","Bundle Offer"
"CRD_Unit_09","Control - No Promotion"
"CRD_Unit_10","Discount"
"CRD_Unit_11","Control - No Promotion"
"CRD_Unit_12","Social Media Promotion"
"CRD_Unit_13","Social Media Promotion"
"CRD_Unit_14","Discount"
"CRD_Unit_15","Bundle Offer"
"CRD_Unit_16","Control - No Promotion"
"CRD_Unit_17","Discount"
"CRD_Unit_18","Social Media Promotion"
"CRD_Unit_19","Bundle Offer"
"CRD_Unit_20","Control - No Promotion"
"CRD_Unit_21","Bundle Offer"
"CRD_Unit_22","Discount"
"CRD_Unit_23","Social Media Promotion"
"CRD_Unit_24","Bundle Offer"
"CRD_Unit_25","Social Media Promotion"
"CRD_Unit_26","Control - No Promotion"
"CRD_Unit_27","Bundle Offer"
"CRD_Unit_28","Social Media Promotion"
"CRD_Unit_29","Discount"
"CRD_Unit_30","Control - No Promotion"
"CRD_Unit_31","Bundle Offer"
"CRD_Unit_32","Bundle Offer"
