"Block_ID","Product_Block","Replicate_Block","Unit_Within_Block","Assigned_Treatment"
"Block_01","Dark Matrix",1,1,"Discount"
"Block_01","Dark Matrix",1,2,"Control - No Promotion"
"Block_01","Dark Matrix",1,3,"Social Media Promotion"
"Block_01","Dark Matrix",1,4,"Bundle Offer"
"Block_02","Kennedy",1,1,"Discount"
"Block_02","Kennedy",1,2,"Control - No Promotion"
"Block_02","Kennedy",1,3,"Bundle Offer"
"Block_02","Kennedy",1,4,"Social Media Promotion"
"Block_03","Mesmerose",1,1,"Control - No Promotion"
"Block_03","Mesmerose",1,2,"Bundle Offer"
"Block_03","Mesmerose",1,3,"Discount"
"Block_03","Mesmerose",1,4,"Social Media Promotion"
"Block_04","Secret Ambrosia",1,1,"Discount"
"Block_04","Secret Ambrosia",1,2,"Social Media Promotion"
"Block_04","Secret Ambrosia",1,3,"Control - No Promotion"
"Block_04","Secret Ambrosia",1,4,"Bundle Offer"
"Block_05","Dark Matrix",2,1,"Social Media Promotion"
"Block_05","Dark Matrix",2,2,"Control - No Promotion"
"Block_05","Dark Matrix",2,3,"Discount"
"Block_05","Dark Matrix",2,4,"Bundle Offer"
"Block_06","Kennedy",2,1,"Discount"
"Block_06","Kennedy",2,2,"Control - No Promotion"
"Block_06","Kennedy",2,3,"Social Media Promotion"
"Block_06","Kennedy",2,4,"Bundle Offer"
"Block_07","Mesmerose",2,1,"Control - No Promotion"
"Block_07","Mesmerose",2,2,"Social Media Promotion"
"Block_07","Mesmerose",2,3,"Discount"
"Block_07","Mesmerose",2,4,"Bundle Offer"
"Block_08","Secret Ambrosia",2,1,"Social Media Promotion"
"Block_08","Secret Ambrosia",2,2,"Bundle Offer"
"Block_08","Secret Ambrosia",2,3,"Control - No Promotion"
"Block_08","Secret Ambrosia",2,4,"Discount"
