"Variable","Loading","Absolute_Loading"
"Time_Trend",0.681278577376661,0.681278577376661
"MonthMarch",0.367471116757992,0.367471116757992
"MonthJanuary",0.346234741341989,0.346234741341989
"MonthMay",-0.317201132319743,0.317201132319743
"MonthJune",-0.19260405002991,0.19260405002991
"MonthFebruary",0.159675533690962,0.159675533690962
"MonthAugust",-0.135059621717435,0.135059621717435
"MonthSeptember",-0.129962370698788,0.129962370698788
"Day_of_WeekSaturday",-0.123860910228573,0.123860910228573
"Day_of_WeekSunday",0.110363877050804,0.110363877050804
"Day_of_WeekFriday",0.100609736365291,0.100609736365291
"MonthJuly",-0.0877024452228652,0.0877024452228652
"Day_of_WeekWednesday",-0.0874473724589228,0.0874473724589228
"`Product Name`Secret Ambrosia",0.0865744423916504,0.0865744423916504
"MonthDecember",0.0799781072499995,0.0799781072499995
"MonthOctober",-0.0794888124508086,0.0794888124508086
"`Product Name`Mesmerose",-0.0696120576289827,0.0696120576289827
"MonthNovember",-0.0466507453834962,0.0466507453834962
"Day_of_WeekTuesday",-0.0336332787982788,0.0336332787982788
"Day_of_WeekThursday",0.0285791199329841,0.0285791199329841
"`Export Market`Japan",-0.0149386388193753,0.0149386388193753
"`Product Name`Kennedy",-0.0148107088087278,0.0148107088087278
