"Evaluation_Area","Assessment","Fragceylon_Reason"
"Need for dimensionality reduction","Limited","The Task 5 encoded matrix has 22 predictors for 1599 training observations, so the problem is not high-dimensional in the usual p-near-n sense."
"Original continuous-variable suitability","Low","Only Time_Trend is a clean continuous primary predictor after excluding the response, leakage variables, identifiers and business-rule variables."
"Categorical predictor issue","Important limitation","Important predictors such as Product, Market, Month and Day are categorical and require dummy encoding before ordinary PCA."
"Target leakage risk","Must be controlled","Quantity and Total Value must not enter predictor PCA because Quantity is the response and Total Value contains Quantity."
"Scaling requirement","Required","Encoded dummy variables and Time_Trend have different scales, so centering and scaling are necessary."
"Interpretability","Reduced by PCA","Principal components combine several original variables, making management interpretation harder than the Reduced MLR."
"Potential multicollinearity benefit","Possible","PCA can transform correlated encoded predictors into orthogonal components, but simpler model reduction already solved the severe Task 5 VIF problem."
"Expected predictive benefit","Must be evaluated empirically","The best exploratory PCR holdout RMSE is 139.6632 compared with 137.9482 for the Reduced MLR."
"Business usability","Lower than direct interpretable predictors","Management can interpret Product, Market and Day effects more directly than abstract principal components."
"Future usefulness","Potentially high with richer high-dimensional numeric data","PCA could become more useful if future data include many correlated continuous marketing, customer, web, inventory and product-attribute measures."
