"Principal_Component","Eigenvalue","Explained_Variance","Explained_Variance_Percent","Cumulative_Variance","Cumulative_Variance_Percent"
"PC1",1.66151406908894,0.07552336677677,7.552336677677,0.07552336677677,7.552336677677
"PC2",1.4406842588019,0.0654856481273593,6.54856481273593,0.141009014904129,14.1009014904129
"PC3",1.37735362026791,0.0626069827394504,6.26069827394504,0.20361599764358,20.361599764358
"PC4",1.32974029150036,0.0604427405227439,6.04427405227439,0.264058738166324,26.4058738166324
"PC5",1.28872773314884,0.0585785333249474,5.85785333249474,0.322637271491271,32.2637271491271
"PC6",1.22771670307356,0.0558053046851621,5.58053046851621,0.378442576176433,37.8442576176433
"PC7",1.21063900330417,0.0550290456047351,5.50290456047351,0.433471621781168,43.3471621781168
"PC8",1.18090781625266,0.0536776280114849,5.36776280114849,0.487149249792653,48.7149249792653
"PC9",1.12995208575206,0.0513614584432755,5.13614584432755,0.538510708235929,53.8510708235929
"PC10",1.07093731366997,0.0486789688031804,4.86789688031804,0.587189677039109,58.7189677039109
"PC11",1.06324123646958,0.0483291471122536,4.83291471122536,0.635518824151363,63.5518824151363
"PC12",1.03328719923963,0.0469675999654378,4.69675999654378,0.6824864241168,68.2486424116801
"PC13",1.01867708968973,0.046303504076806,4.6303504076806,0.728789928193607,72.8789928193607
"PC14",1.00050688916869,0.045477585871304,4.5477585871304,0.774267514064911,77.4267514064911
"PC15",0.994291703936397,0.0451950774516545,4.51950774516545,0.819462591516565,81.9462591516565
"PC16",0.983785863295275,0.0447175392406944,4.47175392406944,0.864180130757259,86.4180130757259
"PC17",0.942322567283392,0.042832843967427,4.2832843967427,0.907012974724686,90.7012974724686
"PC18",0.928522025662284,0.042205546621013,4.2205546621013,0.9492185213457,94.9218521345699
"PC19",0.655722366524312,0.0298055621147415,2.98055621147415,0.979024083460441,97.9024083460441
"PC20",0.289119602910256,0.0131418001322844,1.31418001322844,0.992165883592725,99.2165883592725
"PC21",0.170987644072394,0.00777216563965427,0.777216563965427,0.99993804923238,99.993804923238
"PC22",0.0013629168876493,0.0000619507676204227,0.00619507676204227,1,100
