"Original_Variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22"
"`Product Name`Kennedy",-0.0148107088087278,0.640060643030917,0.171300839205853,-0.31923793925632,0.165926947057609,0.167808590947096,0.140088680428577,0.0660211096155904,0.0183144441587373,0.0298777280764808,-0.0831722600382013,0.0509523360629864,-0.00148654069893907,-0.126389085828218,0.0755644106596696,-0.00409886384413313,0.0070796976164832,0.0036851218670048,-0.0590765767762145,0.585150633012123,-0.0277154147952674,0.00169418706608747
"`Product Name`Mesmerose",-0.0696120576289827,-0.701025968000531,0.256608204800264,-0.169251938792764,0.0121061304976147,-0.0912029934331967,0.0244351103063851,0.0861963337657662,-0.0149333491709838,-0.00600534358881758,-0.0607394538051523,-0.0548450741740075,-0.0593605421366174,-0.0572052169589175,-0.0771737029402949,-0.00780171009444337,-0.0920333045267571,0.0538327732994544,0.0170322692324681,0.599448421341329,-0.0443283784538314,0.000798054102752981
"`Product Name`Secret Ambrosia",0.0865744423916504,0.0916583900316476,-0.421118994443362,0.561577386667173,-0.192539415730093,-0.076440082534285,-0.189732927784822,-0.18832839082258,0.0233829985381006,-0.0192499136215672,0.203547083599263,-0.0119199604151855,0.0882488439758542,0.141712562914745,-0.0245976073604175,0.0135127845310786,0.112510642112684,-0.0267640118163837,0.0275963266492513,0.539738494002743,-0.020201485698709,0.00123696772628385
"`Export Market`Japan",-0.0149386388193753,-0.0987493082419854,-0.00603732512585386,0.145491494983153,0.0814207984452952,0.283088931213114,0.00450717752937652,0.0104054603746348,-0.195227439164911,0.125472195234453,-0.139053172599405,0.428940169220916,0.00147084598071717,-0.0594393531777463,0.00532224006221767,0.0096551302311879,-0.175070313775932,-0.766323012591722,0.0512849877273055,0.0235224641892127,0.00017767254098537,-0.000787814936496829
"MonthAugust",-0.135059621717435,-0.072877936108184,-0.0734746602156111,-0.00412449768129546,0.00165874508706452,0.0393315427940545,0.237102606649554,0.0522779128763274,0.000114371377531827,-0.137167927686284,-0.0690454178254005,-0.520637382045582,0.251294635001065,-0.0310291430390343,0.562615853539602,0.141181500243092,0.222760532108385,-0.296638565001008,0.269972673369635,0.013552194608691,0.0287921630826562,0.0615711721507715
"MonthDecember",0.0799781072499995,0.13174473980675,0.543479941856424,0.307663538324086,-0.383317035604833,-0.123722266473364,0.0800715046430553,-0.0646056372527491,0.262345872095705,0.0325343972661348,-0.213848590357647,0.04904421384807,0.0911586094868812,-0.0134227218231657,-0.0741808124085733,0.180509086653669,-0.101663717730306,-0.00836169862759545,0.193141157039118,-0.0174165713733752,0.010566045874628,0.447966902080881
"MonthFebruary",0.159675533690962,-0.0409363532046242,-0.137451334237966,0.0647306998743915,0.102430617383383,-0.195597720952061,0.198320798150544,-0.0863823975883298,0.281208052684591,0.0959043412676603,-0.122375095850695,0.0337048762578864,-0.604239800873422,-0.17650488109289,0.20007160484963,-0.437560244709115,0.226878190925262,-0.105423271069928,-0.0181716608650976,0.00587309291560728,-0.0128284720108802,0.242795753234803
"MonthJanuary",0.346234741341989,-0.0382990568999442,-0.364180475179665,-0.362804910986401,-0.30513057925136,0.10693422469855,-0.185872502582783,0.0677174781645501,-0.373567658252941,-0.0111683571476903,-0.250973966866114,0.0108365792844383,-0.0192293146107644,-0.0701231991939142,-0.0287315417990079,0.117738229680905,0.0597712046555647,0.0830165310889017,0.0858581100296664,0.0228906754809316,-0.00382644085750846,0.479159396683709
"MonthJuly",-0.0877024452228652,0.0655908552355254,-0.0488875505050295,0.125873102951767,0.0353848423601471,0.138915532997104,-0.20407814895412,-0.128913948886725,-0.0842265129522949,0.0450140540658851,0.156531384166033,-0.31446596184993,-0.296287668881033,-0.446127656222277,0.112986721148343,0.0581810027740319,-0.642379016430204,0.0882211552451376,0.183766323816707,-0.0137775274256794,-0.0144087833422662,0.029596116108601
"MonthJune",-0.19260405002991,0.0238664172052891,-0.0392591435526606,-0.00789004396101014,0.0784355242266404,0.203206847443746,-0.0341207959872952,0.0711738838717551,0.0110258216011792,0.213128658888105,-0.162671714803295,0.0101351259894694,-0.341846220369079,0.72731450841572,0.137882704471463,0.0635439568152863,-0.154635313797341,0.154783099426278,0.340331017125484,0.0353166199333004,0.0144368911209741,0.0299958424633252
"MonthMarch",0.367471116757992,-0.117889464858102,0.129413337837749,0.0117992049855003,0.334058067810767,0.215918866873625,0.171007828371708,-0.0847765357567365,-0.0279277150561162,0.184734808099304,0.568091429631036,0.0382543155036901,0.169643717350676,0.158873997633106,0.173807478879692,0.00886381159026946,-0.0694386233682761,0.0759469204031249,-0.126363049209372,-0.0133638748735055,0.00461998899300243,0.411546594892703
"MonthMay",-0.317201132319743,-0.0848018856253568,-0.105097912830556,-0.0805629069233992,-0.0232118918456739,0.110047321554766,0.0553485297655202,-0.19150048811254,0.0752901307661313,0.137976217478039,0.152461757910629,0.49036003340482,0.155780424438952,-0.312973585192118,0.128935542266752,-0.000334624606590061,0.222500803301119,0.296869941652674,0.506549632571355,-0.0135096289982583,-0.0141035429849333,0.0202638828009554
"MonthNovember",-0.0466507453834962,0.0389860129685442,-0.0368659541329715,-0.0288579307195295,0.348830693279071,-0.120668091309474,-0.186253783752667,0.0906617920567569,0.109658014994336,-0.76359266887324,0.0406754122083249,0.146584215936627,0.0519434789955898,0.100689171722275,-0.0860306962175384,-0.147206694660612,-0.134729441747659,-0.057658959387739,0.249913164687745,0.0080607127327828,-0.0042340465204289,0.266072517919142
"MonthOctober",-0.0794888124508086,0.0585060703895999,-0.03248424031259,-0.034240942582947,0.172215835362031,-0.14177877615675,-0.011803341689534,-0.154378208779759,-0.128479731938886,0.340751742928103,-0.164575092900527,-0.271607131819968,0.396367429644717,0.0523499599285438,-0.319419943306429,-0.578638632110473,-0.103543417855365,-0.0558344278507573,0.233134596363333,-0.00123809865604037,0.0148464199619915,0.125353147664609
"MonthSeptember",-0.129962370698788,0.0787477455891805,-0.0437858758099996,-0.110428408449338,0.000531227858414114,-0.102223325621648,0.208536672709038,0.149988568294053,-0.0454570745796571,0.0711994654972295,0.407894331894578,-0.200755237607043,-0.282053446695535,-0.0277576575396226,-0.556486211363238,0.277665376134243,0.223535594588197,-0.25715634093062,0.280605581529866,-0.00620309640815597,0.0219411885835546,0.100450193475992
"Day_of_WeekFriday",0.100609736365291,-0.0972825945821797,-0.10014555732004,-0.0659636805495283,0.330489834039035,0.229467465365851,-0.0897551924774846,-0.501685691029421,0.339103256366091,0.00360321438407889,-0.293941321660177,-0.124042632517026,0.0143806652320471,-0.0442063087857774,-0.223278215414862,0.33540793475203,0.1047292749937,-0.0108281219339894,-0.0451460495555208,0.0133292872978826,0.387045187362937,-0.000241578929306612
"Day_of_WeekSaturday",-0.123860910228573,-0.0235769247247717,-0.131540659672245,-0.0200649911708496,-0.334993693936319,0.184220157770425,0.610947516112656,-0.192177144835398,-0.123651429920104,-0.285951892469822,0.0496028787349061,0.0432771407214053,-0.0187209910846313,0.0885426913100649,-0.0931230539841473,-0.207877288390923,-0.244881352856484,0.0756182541806912,-0.107766278487987,0.0303499335305376,0.412751463595671,0.000402449914549948
"Day_of_WeekSunday",0.110363877050804,0.00781018710703324,-0.0614137210675858,0.38466751442405,0.345619105666566,-0.152232417202992,0.18580063721525,0.480748059612241,-0.251405206109093,0.100663398850624,-0.217952765438536,0.080906489887784,0.0264945100974851,-0.173566656350368,-0.0110515061885426,0.140068684634531,0.00889301307573654,0.243241726175499,0.0801302327185876,0.0254509130398216,0.428345254635419,-0.000812857167684699
"Day_of_WeekThursday",0.0285791199329841,0.000711664093599847,-0.240355755794511,-0.278421757692725,-0.1794903142431,-0.211330767504332,-0.142364206516462,0.335138094068015,0.524238423411971,0.210981700060003,0.168226605795444,0.0873145691243255,0.170046360044163,0.0234272144556818,0.10408581322124,-0.00647505777198076,-0.282237010014729,-0.161120658065356,-0.000948122556063346,0.030137063411209,0.39025537829682,-0.00099005083884887
