"Variable","Analytical_Role","Suitable_For_Standard_PCA","Reason"
"Order ID","Identifier","No","Identifier has no continuous analytical meaning."
"Date","Time identifier","No","Raw date is better represented by derived time features."
"Product Name","Categorical predictor","No","Categorical variable; standard PCA is not designed for nominal labels."
"Product Code","Product identifier","No","Redundant with Product Name and functions as an identifier."
"Channel Type","Categorical predictor","No","Categorical and structurally confounded with business regime."
"Buyer","High-cardinality categorical variable","No","Categorical with many levels and risk of memorizing buyers."
"Line Type","Record-type variable","No","All rows in this analytical dataset are Regular Orders."
"Quantity","Response","No","Quantity is the response to be predicted, not a predictor to compress."
"Unit Price (LKR)","Numeric business variable","Cautious / not primary","Numeric, but follows business pricing rules and was excluded from the primary Task 5 predictor set."
"Total Value (LKR)","Derived outcome/value variable","No","Contains Quantity through Quantity x Unit Price and would create target leakage."
"Export Market","Categorical predictor","No","Categorical variable; dummy encoding is possible but reduces component interpretability."
"Year","Derived time variable","No","Only a derived time label and not a rich continuous business measurement."
"Month","Categorical time variable","No","Nominal/cyclical time category."
"Month_Number","Numeric-coded month","No","The integers 1-12 are labels for a cyclical category, not an ordinary continuous measurement."
"Quarter","Categorical time variable","No","Categorical time grouping."
"Day_of_Week","Categorical time variable","No","Categorical cyclical variable."
"Year_Month","Derived time label","No","Time label rather than an independent continuous measurement."
"Time_Trend","Numeric time predictor","Yes","Meaningful numeric time index, but only one clean continuous predictor is insufficient for useful PCA."
"Sales_Regime","Derived regime variable","No","Categorical regime indicator and constant in the current modelling regime."
"Is_Regular_Order","Regular-order indicator","No","Constant because this dataset contains Regular Orders only."
"Market_Group","Categorical market variable","No","Categorical/redundant representation of market."
"Outlier_IQR_Flag","Response-derived diagnostic flag","No","Derived from Quantity and therefore unsuitable as a predictor."
