"Coefficient","Posterior_Mean","Posterior_SD","Approx_Lower_95","Approx_Upper_95","Prior_Setting"
"(Intercept)",265.456390759388,11.1131084999839,243.674698099419,287.238083419356,"Slope prior SD = 100; illustrative only"
"`Product Name`Kennedy",2.52455096629339,10.1445669881997,-17.3588003305779,22.4079022631647,"Slope prior SD = 100; illustrative only"
"`Product Name`Mesmerose",-6.17880755016972,9.85666557646732,-25.4978720800457,13.1402569797062,"Slope prior SD = 100; illustrative only"
"`Product Name`Secret Ambrosia",-13.2327147205613,10.9008897922485,-34.5984587133684,8.13302927224583,"Slope prior SD = 100; illustrative only"
"`Export Market`Japan",328.916649820165,12.2972225020455,304.814093716156,353.019205924174,"Slope prior SD = 100; illustrative only"
"Day_of_WeekFriday",11.5057028728617,13.376543626007,-14.712322634112,37.7237283798354,"Slope prior SD = 100; illustrative only"
"Day_of_WeekSaturday",14.8311037033795,12.7224628481662,-10.1049234790262,39.7671308857852,"Slope prior SD = 100; illustrative only"
"Day_of_WeekSunday",24.8975399932562,12.443397150497,0.508481578282172,49.2865984082302,"Slope prior SD = 100; illustrative only"
"Day_of_WeekThursday",17.6317108320437,13.2682169634104,-8.37399441624074,43.6374160803282,"Slope prior SD = 100; illustrative only"
"Day_of_WeekTuesday",23.8543215483023,13.1290069550927,-1.87853208367939,49.587175180284,"Slope prior SD = 100; illustrative only"
"Day_of_WeekWednesday",14.6303846279068,12.5812888399846,-10.0289414984631,39.2897107542766,"Slope prior SD = 100; illustrative only"
