"Month_Start","Calendar_Days","Observed_Days","Coverage_Percent","Full_Calendar_Month"
2024-10-01,31,14,45.1612903225806,FALSE
2024-11-01,30,30,100,TRUE
2024-12-01,31,31,100,TRUE
2025-01-01,31,31,100,TRUE
2025-02-01,28,28,100,TRUE
2025-03-01,31,31,100,TRUE
2025-04-01,30,30,100,TRUE
2025-05-01,31,31,100,TRUE
2025-06-01,30,30,100,TRUE
2025-07-01,31,31,100,TRUE
2025-08-01,31,31,100,TRUE
2025-09-01,30,30,100,TRUE
2025-10-01,31,31,100,TRUE
2025-11-01,30,30,100,TRUE
2025-12-01,31,31,100,TRUE
2026-01-01,31,31,100,TRUE
2026-02-01,28,28,100,TRUE
2026-03-01,31,31,100,TRUE
2026-04-01,30,30,100,TRUE
2026-05-01,31,31,100,TRUE
2026-06-01,30,30,100,TRUE
