"Month_Start","Quantity","Order_Lines","Period"
2024-10-01,1556,27,"Pre-April-2025 structure"
2024-11-01,12044,148,"Pre-April-2025 structure"
2024-12-01,28450,377,"Pre-April-2025 structure"
2025-01-01,27557,364,"Pre-April-2025 structure"
2025-02-01,3717,45,"Pre-April-2025 structure"
2025-03-01,9891,141,"Pre-April-2025 structure"
2025-04-01,103212,335,"Current Main Dealer regime"
2025-05-01,13588,37,"Current Main Dealer regime"
2025-06-01,7119,22,"Current Main Dealer regime"
2025-07-01,2983,9,"Current Main Dealer regime"
2025-08-01,7002,23,"Current Main Dealer regime"
2025-09-01,11286,38,"Current Main Dealer regime"
2025-10-01,12086,44,"Current Main Dealer regime"
2025-11-01,49323,150,"Current Main Dealer regime"
2025-12-01,115818,395,"Current Main Dealer regime"
2026-01-01,106387,340,"Current Main Dealer regime"
2026-02-01,17899,58,"Current Main Dealer regime"
2026-03-01,43471,148,"Current Main Dealer regime"
2026-04-01,107546,332,"Current Main Dealer regime"
2026-05-01,12241,41,"Current Main Dealer regime"
2026-06-01,12634,42,"Current Main Dealer regime"
