"Month_Start","Product Name","Quantity"
2024-10-01,"Dark Matrix",416
2024-11-01,"Dark Matrix",2824
2024-12-01,"Dark Matrix",6088
2025-01-01,"Dark Matrix",5032
2025-02-01,"Dark Matrix",919
2025-03-01,"Dark Matrix",1825
2025-04-01,"Dark Matrix",21859
2025-05-01,"Dark Matrix",2110
2025-06-01,"Dark Matrix",3172
2025-07-01,"Dark Matrix",455
2025-08-01,"Dark Matrix",1878
2025-09-01,"Dark Matrix",1981
2025-10-01,"Dark Matrix",2233
2025-11-01,"Dark Matrix",11074
2025-12-01,"Dark Matrix",23847
2026-01-01,"Dark Matrix",27485
2026-02-01,"Dark Matrix",4995
2026-03-01,"Dark Matrix",6389
2026-04-01,"Dark Matrix",22984
2026-05-01,"Dark Matrix",3264
2026-06-01,"Dark Matrix",3290
2024-10-01,"Kennedy",525
2024-11-01,"Kennedy",4892
2024-12-01,"Kennedy",7198
2025-01-01,"Kennedy",7087
2025-02-01,"Kennedy",1034
2025-03-01,"Kennedy",2624
2025-04-01,"Kennedy",25430
2025-05-01,"Kennedy",4022
2025-06-01,"Kennedy",2032
2025-07-01,"Kennedy",1313
2025-08-01,"Kennedy",2221
2025-09-01,"Kennedy",5206
2025-10-01,"Kennedy",4277
2025-11-01,"Kennedy",14908
2025-12-01,"Kennedy",31609
2026-01-01,"Kennedy",26857
2026-02-01,"Kennedy",3871
2026-03-01,"Kennedy",12275
2026-04-01,"Kennedy",30855
2026-05-01,"Kennedy",3302
2026-06-01,"Kennedy",2394
2024-10-01,"Mesmerose",453
2024-11-01,"Mesmerose",3064
2024-12-01,"Mesmerose",8693
2025-01-01,"Mesmerose",7567
2025-02-01,"Mesmerose",1538
2025-03-01,"Mesmerose",2993
2025-04-01,"Mesmerose",34830
2025-05-01,"Mesmerose",5789
2025-06-01,"Mesmerose",1454
2025-07-01,"Mesmerose",156
2025-08-01,"Mesmerose",2221
2025-09-01,"Mesmerose",2630
2025-10-01,"Mesmerose",3738
2025-11-01,"Mesmerose",15280
2025-12-01,"Mesmerose",34872
2026-01-01,"Mesmerose",31721
2026-02-01,"Mesmerose",3857
2026-03-01,"Mesmerose",16685
2026-04-01,"Mesmerose",29333
2026-05-01,"Mesmerose",4743
2026-06-01,"Mesmerose",4249
2024-10-01,"Secret Ambrosia",162
2024-11-01,"Secret Ambrosia",1264
2024-12-01,"Secret Ambrosia",6471
2025-01-01,"Secret Ambrosia",7871
2025-02-01,"Secret Ambrosia",226
2025-03-01,"Secret Ambrosia",2449
2025-04-01,"Secret Ambrosia",21093
2025-05-01,"Secret Ambrosia",1667
2025-06-01,"Secret Ambrosia",461
2025-07-01,"Secret Ambrosia",1059
2025-08-01,"Secret Ambrosia",682
2025-09-01,"Secret Ambrosia",1469
2025-10-01,"Secret Ambrosia",1838
2025-11-01,"Secret Ambrosia",8061
2025-12-01,"Secret Ambrosia",25490
2026-01-01,"Secret Ambrosia",20324
2026-02-01,"Secret Ambrosia",5176
2026-03-01,"Secret Ambrosia",8122
2026-04-01,"Secret Ambrosia",24374
2026-05-01,"Secret Ambrosia",932
2026-06-01,"Secret Ambrosia",2701
